id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
163,bambu,10,True,4.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.33,False,Random 30%
28,bambu,10,False,,ALL_BRAM,MEM_ACC_NN,1,10.0,8.0,101.83090948803952,0.17979899200002447,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,18.69,False,Random 30%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,21.62,True,Random 30%
189,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,19.97,False,Random 30%
70,bambu,5,True,1.0,NO_BRAM,MEM_ACC_NN,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.39,False,Random 30%
62,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.74,False,Random 30%
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.43,True,Random 30%
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069063,0.49619899200002604,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,13.57,True,Random 30%
188,bambu,15,True,2.0,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,12.63,False,Random 30%
26,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,19.8,True,Random 30%
