id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,19.39,True,Grid Search
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,20.71,True,Grid Search
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.59,True,Grid Search
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,20.3,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,16.97,True,Grid Search
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,18.8,True,Grid Search
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,14.0,16.0,158.30299192654743,1.683000000000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.08,True,Grid Search
21,bambu,8,False,,NO_BRAM,MEM_ACC_N1,2,14.0,16.0,158.30299192654743,1.683000000000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,22.16,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,13.0,11.0,118.48341232227484,1.5599999999999963,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,18.99,True,Grid Search
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,13.0,11.0,118.48341232227484,1.5599999999999963,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,21.22,True,Grid Search
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,13.0,15.0,118.48341232227484,1.5599999999999963,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,21.97,True,Grid Search
33,bambu,10,False,,NO_BRAM,MEM_ACC_N1,2,13.0,15.0,118.48341232227484,1.5599999999999963,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,20.88,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,12.0,10.0,71.67122973495982,1.0474000000000043,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,21.09,True,Grid Search
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,12.0,10.0,71.67122973495982,1.0474000000000043,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,17.61,True,Grid Search
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,82.80064915708941,2.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,18.62,True,Grid Search
45,bambu,15,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,82.80064915708941,2.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,22.63,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,12.0,10.0,71.67122973495988,6.047400000000018,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,23.47,True,Grid Search
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,12.0,10.0,71.67122973495988,6.047400000000018,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,19.54,True,Grid Search
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,82.80064915708941,7.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,21.06,True,Grid Search
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,82.80064915708941,7.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,21.14,True,Grid Search
